Probes	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F	Sample_G	Sample_H	Sample_I
1415692_s_at	9.950174086	9.973895796	10.04584913	9.959400865	10.01659918	10.1043764	9.942563395	10.02817466	9.958370572
1415693_at	7.894794045	7.77882897	8.343718146	8.051555698	8.178662793	8.299457258	8.428564532	8.177535591	7.835084511
1415694_at	7.64125642	7.623206901	7.651359067	7.573875051	7.787947233	7.722803365	8.410237579	8.247349165	7.873588018
1415695_at	8.993421508	9.089814673	9.392196075	9.244027157	9.463740685	9.405156159	9.730694969	9.637185961	9.579703987
1415696_at	8.479511629	8.362180967	8.698812755	8.626195675	8.682483942	8.663807696	8.71753624	8.780843624	8.965133747
1415697_at	8.471725673	8.42599395	8.651327657	8.604569054	8.60651764	8.568628807	9.00657487	9.317272674	8.951994427
1415698_at	7.903457851	8.165732377	8.254794004	8.099769763	8.019724215	7.952688717	7.917742804	7.768523847	7.780848838
1415699_a_at	8.725610064	8.790755208	8.698978111	8.646188786	8.674725964	8.652046592	8.763300508	8.849714451	8.80943293
1415700_a_at	8.830936956	8.785223622	9.291719869	9.230411678	9.483857351	9.398350549	9.541772461	9.558477014	9.64227304
1415701_x_at	12.62416885	12.51391338	12.54524932	12.53653379	12.47952662	12.40063283	12.46079062	12.51747645	12.55623918
1415702_a_at	9.675340759	9.699267059	9.89892688	9.753136731	9.854068691	9.861671867	9.525236126	9.699704629	9.762477107
1415703_at	9.206618067	9.404712426	9.337297522	9.229898541	9.16798594	9.123038188	9.338002912	9.159580862	9.10087252
1415704_a_at	9.233411669	9.338474508	9.37426134	9.250372475	9.314970021	9.290095011	9.309805795	9.504606032	9.491444695
1415705_at	6.5253985	6.677752241	7.018787536	6.987011938	7.095464677	6.884514918	6.852696832	6.453441953	6.874354759
1415706_at	9.732918688	9.661974312	9.833778684	9.764634791	9.822978232	9.891741683	9.838440242	9.582117983	9.917633054
1415707_at	8.065000826	8.159931123	7.886804916	8.086669491	7.989924642	7.992937348	7.993298212	7.822876477	7.98858757
1415708_at	8.972105039	8.983736923	9.107880162	8.875443968	8.909672578	8.944416425	8.483843567	8.43677618	8.722887645
1415709_s_at	7.769891218	7.790928377	7.769560697	7.836037317	8.119834187	8.159561518	7.570581781	8.36314854	7.698024667
1415710_at	6.790079749	7.017497571	6.941572524	7.029897887	7.041296066	7.030413103	7.222994876	7.184402263	7.291849889
1415711_at	9.473546354	9.554958637	9.468306325	9.411871865	9.414921707	9.439440349	9.105525811	9.277240696	9.41936134
1415712_at	7.141165785	7.075503274	7.170624028	7.073300353	6.870667831	6.995334254	6.937105774	6.784306915	7.256579295
1415713_a_at	7.811369195	8.07887807	8.223623623	8.130034674	7.97157407	8.115150326	8.312326514	7.77656775	7.751579179
1415714_a_at	8.372218451	8.302241361	8.594087374	8.599415677	8.724255795	8.577303596	9.050283906	9.258161649	8.777671247
1415715_at	6.59199947	6.603466686	6.496523773	6.783551245	6.454538531	6.548443801	5.763243335	6.564552471	6.683652077
1415716_a_at	12.74904746	12.55834406	12.52486978	12.50997832	12.49418457	12.52658433	12.23974196	12.19335127	12.35865522
1415717_at	8.707100803	8.582694993	8.796166616	8.689629924	8.718443632	8.624010701	8.419561673	8.530664728	8.571059051
1415718_at	8.069693566	8.042619483	8.356105108	8.362609139	8.140137295	8.264104718	7.550388644	8.10423921	8.199164339
1415719_s_at	7.854248033	7.790807918	7.836558714	7.737488561	7.701668872	7.99933276	7.509503989	7.956742525	7.980694808
1415720_s_at	7.279972368	7.216646554	7.310348769	7.213212915	7.511963005	7.290587573	7.022156594	7.18535477	7.183725114
1415721_a_at	8.349154269	8.299375836	8.608220822	8.537575668	8.291042587	8.332633236	7.890686198	8.126130596	8.167709816
