Hybridization REF	TCGA-AA-3841-01A-01R-0905-07	TCGA-AA-3866-01A-01R-1022-07	TCGA-AA-3870-01A-01R-1022-07	TCGA-AA-3939-01A-01R-1022-07	TCGA-AA-3941-01A-01R-1022-07	TCGA-AA-3968-01A-01R-1022-07	TCGA-AA-3970-01A-01R-1022-07	TCGA-AA-3977-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3980-01A-02R-1022-07
TLX1|3195	2.29644090012866	1.24061617719667	0.631239821058094	0.85469608447399	1.90354978406893	3.63019122479417	0.858381038633052	1.10273774138497	2.48896461403327	0.183405545543759
TLX2|3196	0.102092893390567	0	0.0453325938741064	0.0260198432278634	0.144093139541408	0.0899770701921453	0.0534254747879792	0	0.0679000429478545	0.0233491228825497
TLX3|30012	0.869510260562357	0.0232106467872971	0	0	0	0	0	0.0442094651111374	0	0.0233954198876044
TM2D1|83941	4.45745739974687	12.6985634258477	4.94814328654646	19.5968137032534	17.1552296709163	11.0488243113147	19.8918856576184	14.073428918047	20.5872930217895	16.877418474246
TM2D2|83877	4.82521666167273	9.41245912836486	8.67176083265752	13.0321276739914	8.29497876521973	8.70671734540164	8.81971861359498	12.630620666579	15.3309628885666	17.2906878809928
TM2D3|80213	12.487098510406	15.8055099439003	11.7358278624474	14.0144909013889	22.9983911242871	13.5467575773877	10.4611100075802	14.6168263787059	11.842907346109	13.4468646181052
TM4SF18|116441	0.917366456105586	1.3678362363271	0.989256231433929	1.36942368812115	0.770692914002169	1.90574634528901	1.85166090941707	1.30266314682682	0.755390373365124	1.94819861883696
TM4SF19|116211	0.695087543623202	2.97904713580872	1.26886020737843	0.551142866934304	1.01737617885125	0.782764591681567	1.37413307009561	1.60212983744074	2.26008206826032	0.953818660507511
TM4SF1|4071	34.0128352918984	49.9707245252009	142.61555160841	62.1431031955575	129.613231489077	18.1666462921419	23.1336732134749	29.537526710944	69.8182707284106	18.8863645954638
TM4SF20|79853	4.15407585955246	2.67563494012804	0.416510377655426	2.44190033492729	29.2048307905099	2.73105726256375	0.403212003226679	0.839731039256008	5.19881136913876	0.337116859904242
TM4SF4|7104	0.704498159293171	0	1.54003837116292	0.524842832167631	13.7420591216893	0.0477609378190799	0.0850767014480845	0.0936819617831246	0.168196838413313	0.0495760088094474
